Timestamps,
199651475,1
199653880,1
199663897,2
199669179,2
199670970,0
199672107,4
199673020,20
199678183,3
199690872,1
199692780,0
199693795,1
199699465,4
199700359,3
199710564,2
199713538,20
199718846,0
199721263,2
199723598,4
199728182,3
199733413,3
199744645,0
199750104,1
199750702,4
199752486,20
199754192,1
199764172,2
199768609,2
199772449,0
199773188,4
199775257,3
199791693,20
199793759,0
199799044,4
199800107,1
199804885,3
199806931,1
199820095,0
199823201,2
199824206,4
199827826,2
199835385,20
199836133,3
199844428,0
199853403,1
199854717,4
199855203,1
199855394,4
199860305,3
199873588,0
199874288,20
199882451,2
199889558,3
199893304,0
199898080,1
199898599,4
199908904,1
199912236,3
199917176,20
199919957,0
199924420,4
199925501,2
199928933,2
199935366,3
199948883,0
199951144,1
199951794,4
199952387,20
199954248,1
199961795,3
199971534,2
199971886,4
199972150,0
199976859,0
199991103,3
199992477,20
199992879,3
199997315,2
199999261,1
200006113,1
200012009,4
200024943,20
200025911,2
200028945,2
200032168,4
200032500,0
200037254,3
200050589,4
200051615,1
200052473,0
200053695,1
200060543,3
200071687,2
200072156,4
200072447,20
200080757,0
200081199,2
200088155,3
200092376,3
200098534,1
200105122,20
200105697,0
200106548,1
200110891,4
200126025,2
200128260,2
200136109,3
200136842,4
200137175,0
200145675,20
200152639,0
200159578,4
200160256,1
200161059,3
200168007,1
200181277,0
200182922,20
200183462,4
200185122,2
200188413,2
200196356,3
200204198,0
200211334,1
200212478,4
200214119,1
200220565,3
200225890,20
200231588,2
200232292,4
200233144,0
200247816,3
200252097,0
200257028,2
200259198,1
200260143,4
200262620,20
200266967,1
200268868,3
200280700,0
200284819,2
200285541,4
200291742,2
200296896,3
200302957,20
200304870,0
200311826,4
200317193,1
200318178,1
200318430,4
200320225,3
200331895,2
200332809,0
200341456,2
200342294,20
200349846,3
200352041,0
200353710,3
200359542,1
200361123,4
200366990,1
200382761,20
200384332,2
200385145,4
200392055,2
200394204,0
200396747,3
200411175,1
200411987,4
200412489,20
200413137,0
200414094,1
200421305,3
200432222,4
200433641,0
200444149,0
200446938,2
200448910,2
200450743,3
200453086,20
200454700,3
200459454,4
200460444,1
200466614,1
200484135,4
200484556,2
200487704,2
200491903,20
200493654,0
200497807,0
200508983,3
200511702,1
200512812,4
200518179,1
200532493,4
200532961,20
200541129,0
200544206,2
200548574,2
200548962,3
200554350,3
200561378,4
200562981,1
200565235,0
200566238,1
200572283,20
200583850,4
200593269,2
200594171,0
200600406,2
200609266,3
200611857,4
200613805,0
200614782,20
200615378,4
200620354,1
200626794,1
200629591,3
200641758,0
200645848,2
200649437,2
200652205,20
200658082,3
200665545,0
200665816,3
200671966,1
200672770,4
200674962,1
200691873,2
200693074,4
200696075,20
200696889,0
200697378,0
200701644,2
200709362,3
200712166,4
200713341,3
200715660,4
200719675,1
200722417,20
200727340,1
200741799,0
200747404,2
200749260,2
200764639,0
200771036,3
200772037,4
200772758,20
200775350,1
200777458,1
200790588,3
200794293,0
200795179,4
200796962,0
200802611,20
200803404,2
200807951,2
200812156,4
200815532,4
200818312,3
200819591,1
200826283,1
200841846,3
200844241,20
200851446,2
200854633,0
200869140,3
200871787,4
200874451,0
200875298,3
200876232,1
200877379,1
200877567,2
200882533,20
200894732,4
200902072,0
200904499,2
200910363,2
200920838,4
200923200,20
200925047,0
200931167,3
200933442,1
200934274,1
200944076,4
200950199,3
200952607,2
200953283,0
200961965,2
200962309,20
200972128,4
200973804,1
200974821,0
200975056,1
200978537,3
200992467,4
201001171,3
201003511,20
201005012,2
201008068,2
201014412,0
201020754,4
201032523,20
201033319,3
201036513,1
201037316,0
201037518,3
201043900,4
201054647,0
201057583,0
201065294,2
201068664,2
201072378,4
201075612,4
201079252,3
201082111,1
201085282,20
201087058,1
201087579,3
201102026,0
201109957,0
201113821,2
201120483,4
201121055,2
201122582,20
201133689,1
201135429,1
201137777,3
201144485,4
201161210,3
201162950,20
201163925,0
201165290,2
201170067,2
201172216,4
201175630,4
201182736,1
201185398,0
201186605,1
201191456,3
201192461,20
201194603,3
201213753,2
201214642,0
201221414,2
201233022,0
201233431,4
201234045,1
201234571,1
201243072,20
201250260,3
201250918,4
201261334,0
201267187,2
201268986,2
201270025,3
201272362,4
201272946,20
201275770,4
201285062,0
201292654,1
201294673,1
201300228,3
201307971,3
201313274,20
201314296,2
201315330,0
201316980,0
201320462,2
201322953,4
201329127,4
201339970,1
201347887,1
201352066,3
201353436,20
201355933,3
201362961,0
201366658,2
201369500,2
201380623,4
201385091,0
201394216,1
201395173,1
201395752,20
201404878,4
201412011,3
201417107,0
201418249,0
201425595,2
201428759,2
201431959,4
201432644,20
201433402,3
201445316,1
201447053,1
201451014,4
201461432,3
201467526,3
201472424,2
201473304,20
201475019,0
201480446,4
201482032,2
201493874,1
201494812,1
201496613,0
201504791,4
201513073,3
201514465,20
201514844,3
201521937,0
201528999,2
201533281,2
201534720,4
201536714,4
201540874,1
201545058,0
201547392,1
201553068,20
201571863,3
201575734,0
201576905,3
201577585,0
201580428,4
201582321,20
201584614,2
201589253,2
201593984,1
201594764,1
201604797,4
201620016,3
201623723,20
201625258,2
201628254,3
201630309,2
201632074,4
201636510,4
201637411,0
201654481,0
201654785,1
201658799,1
201662820,20
201672623,3
201674431,3
201676086,0
201677924,0
201681232,4
201685999,2
201689258,2
201689506,4
201701516,1
201703211,20
201707458,1
201731320,4
201733934,3
201735108,3
201735959,0
201736962,4
201737896,0
201741308,2
201743559,20
201753185,1
201755389,1
201779527,3
201780722,4
201783939,0
201785933,2
201788971,2
201789750,20
201790515,4
201799928,1
201805042,0
201806115,1
201822454,20
201834062,3
201835536,4
201837610,2
201841076,3
201841454,0
201841658,2
201852476,1
201854103,1
201863502,20
201883443,0
201890294,0
201891430,3
201892525,4
201893779,2
201895678,3
201897360,4
201902389,2
201902821,20
201913685,1
201914749,1
201939203,3
201940670,4
201943530,20
201944558,0
201945760,2
201948246,3
201949205,2
201962004,1
201964206,4
201965990,0
201967270,1
201972471,20
201992500,3
201994276,3
201994820,2
201995694,0
201996762,0
202001808,2
202012139,4
202013786,1
202015297,20
202015989,1
202039383,4
202042576,0
202045637,2
202048857,2
202050593,0
202052511,3
202053357,20
202055388,3
202063730,4
202064288,1
202067366,1
202092594,4
202093656,20
202097837,0
202099278,4
202099616,0
202101058,3
202106869,2
202108308,3
202108795,2
202114023,1
202114699,1
202132939,20
202140866,4
202142250,0
202148285,4
202149444,0
202153813,3
202154996,2
202155946,3
202163551,2
202175100,20
202175856,1
202177385,1
202192767,4
202195252,4
202196862,0
202197931,0
202202484,20
202206857,2
202210864,2
202213581,3
202217715,1
202219244,1
202239679,4
202253587,20
202256709,0
202259065,3
202260031,0
202267370,3
202268038,2
202271077,2
202275043,1
202276126,1
202293229,4
202293852,20
202295441,4
202303552,0
202310149,0
202312470,3
202314449,3
202315025,2
202322015,1
202323355,2
202326938,1
202338420,20
202342636,4
202349092,4
202357608,0
202358307,0
202363970,20
202366257,2
202369364,2
202370708,3
202374184,1
202375072,3
202375360,1
202400918,4
202413403,20
202414988,2
202416637,0
202417960,0
202420628,3
202421800,2
202422366,1
202424257,4
202427126,1
202427875,3
202446024,20
202453760,4
202455312,4
202465095,0
202470504,0
202473938,3
202474976,2
202475943,1
202477939,3
202478216,1
202483564,20
202484277,2
202501074,4
202516611,0
202518188,0
202522943,20
202524014,4
202525757,2
202528760,2
202534165,1
202534629,3
202536797,1
202552904,4
202564358,0
202565963,20
202569825,0
202570977,4
202573628,2
202579479,3
202581056,1
202582147,2
202586200,1
202586882,3
202601045,4
202603041,20
202617702,0
202620609,0
202623604,4
202625722,2
202628702,2
202632110,3
202633999,1
202634758,3
202635049,1
202643682,20
202653097,4
202655318,4
202675585,0
202678142,0
202680735,3
202681751,1
202683221,20
202684494,2
202686740,3
202687151,1
202689999,2
202699539,4
202723454,0
202724643,20
202725160,4
202731441,0
202735613,1
202737900,1
202739553,3
202741818,2
202748548,3
202755069,4
202757246,4
202757964,20
202775658,0
202778312,0
202784859,2
202788197,2
202792042,3
202793027,1
202793961,20
202794464,3
202794774,1
202799048,4
202807934,4
202823615,0
202831647,0
202833022,2
202833679,20
202834298,1
202835005,1
202840706,3
202845222,2
202847446,3
202853790,4
202855349,4
202873568,20
202884161,0
202885672,2
202889388,2
202890152,0
202892013,3
202893893,1
202894787,1
202895029,3
202911439,4
202913867,20
202932152,4
202936426,0
202938087,0
202940641,1
202943863,2
202946977,1
202948589,2
202951238,3
202952464,4
202955281,20
202956075,3
202956383,4
202982893,20
202987424,0
202989440,0
202993580,2
202994681,1
202995797,1
202998809,3
203001930,2
203006341,3
203011603,4
203033302,4
203033751,20
203036986,0
203038084,0
203041795,1
203043571,2
203045973,1
203049115,2
203052162,3
203055495,3
203059427,4
203073855,20
203082657,0
203083912,4
203089798,0
203091705,2
203101672,1
203102844,2
203109211,1
203111519,4
203112275,3
203119019,20
203130770,3
203133328,4
203136901,0
203137907,0
203142674,20
203153144,2
203154417,1
203155453,1
203158988,3
203160797,4
203161936,2
203167410,3
203183691,4
203184433,20
203196204,0
203197089,0
203200824,1
203203556,2
203206870,1
203209672,2
203212407,3
203213829,4
203215261,3
203215972,4
203222830,20
203243521,0
203251777,0
203252395,2
203254260,1
203257102,1
203259766,4
203261883,2
203263692,20
203271763,3
203276141,3
203283052,4
203295340,0
203298148,0
203300882,1
203303259,20
203304678,2
203309313,1
203309785,2
203313226,4
203315984,4
203319203,3
203341672,3
203345950,20
203351932,2
203354361,1
203355375,1
203356069,0
203357215,0
203359393,4
203361793,2
203368405,4
203370085,3
203374226,3
203384356,20
203393854,0
203397281,0
203404252,2
203409482,2
203413361,4
203414451,1
203415538,1
203415712,4
203417851,3
203423829,20
203427646,3
203455588,0
203463455,0
203463750,20
203464190,1
203464831,2
203468102,1
203469694,2
203472245,3
203473883,4
203474985,3
203494148,4
203503813,20
203505007,0
203509489,0
203512109,4
203512910,2
203513897,1
203515400,4
203517361,1
203521463,2
203532915,20
203535752,3
203538862,3
203554417,0
203558556,0
203559704,4
203563895,2
203568328,4
203569081,2
203573426,1
203575268,1
203578183,3
203585246,20
203588988,3
203604240,0
203609025,0
203610933,2
203613958,1
203614892,20
203615387,1
203620604,2
203621191,4
203638618,3
203643739,4
203648565,3
203654187,20
203663492,0
203665132,2
203669631,2
203670040,0
203672787,1
203674133,4
203675700,1
203691822,3
203694449,4
203695255,3
203701049,20
203715440,0
203717257,0
203727906,1
203730148,2
203733595,1
203736169,20
203737747,3
203744539,4
203745463,2
203747604,3
203763542,0
203769976,0
203771685,4
203772812,1
203773873,20
203774351,2
203775392,1
203781368,2
203790893,3
203793382,4
203794744,3
203813606,20
203816742,0
203817869,0
203819446,4
203820894,1
203824074,2
203827247,1
203828832,2
203843518,20
203845043,4
203850767,3
203855674,3
203871748,4
203872790,2
203874158,1
203876221,0
203877267,4
203877452,0
203881953,2
203893765,20
203898775,3
203905982,3
203919619,4
203920598,1
203924455,0
203925578,2
203926094,20
203927481,1
203928607,2
203930545,0
203944897,4
203950758,3
203954638,3
203964079,20
203972130,4
203975225,0
203976023,4
203976858,0
203980503,1
203983352,2
203987024,1
204004129,20
204008395,2
204011368,3
204014487,3
204019650,4
204022296,0
204030328,0
204034781,1
204037208,1
204045313,4
204049127,20
204057923,2
204058704,3
204067898,3
204072046,4
204073013,20
204077210,0
204079809,4
204080036,0
204082146,1
204088985,1
204089186,2
204089895,2
204110912,3
204115094,3
204124110,20
204130990,2
204132015,4
204133246,1
204135723,1
204136843,0
204137722,0
204151511,4
204152944,20
204156100,2
204171305,3
204172302,4
204175208,4
204175452,3
204183007,0
204184469,2
204189498,2
204189798,0
204192867,1
204194563,20
204196904,1
204217930,3
204227018,3
204230875,4
204233068,1
204234462,20
204234773,1
204235504,0
204236783,0
204245282,2
204253277,4
204264417,2
204270586,3
204273962,20
204275429,3
204279339,4
204283681,0
204289966,0
204290454,2
204291149,1
204294588,1
204304479,4
204313131,20
204316421,2
204330002,3
204330965,4
204334099,0
204335006,3
204337505,0
204340001,1
204344351,2
204347591,1
204352906,4
204353905,20
204367918,2
204378333,3
204379225,4
204383084,20
204391423,2
204392119,1
204394264,0
204395106,1
204398380,0
204401878,2
204402894,3
204404248,4
204425604,20
204430361,3
204431461,4
204434392,3
204435478,4
204439812,1
204442572,0
204443839,2
204448174,1
204449025,2
204450163,0
204465104,20
204479627,4
204490536,3
204491514,2
204492405,1
204493562,0
204495408,1
204501734,2
204504374,20
204505035,4
204514180,3
204516493,0
204532126,4
204538071,3
204543831,0
204545186,20
204549992,0
204551206,2
204552004,1
204552686,4
204554229,1
204562323,3
204575725,2
204579224,4
204584796,20
204590582,3
204594329,3
204594982,0
204598184,0
204599551,1
204602338,2
204604277,4
204622116,1
204623162,20
204625876,2
204630162,4
204652895,4
204653592,3
204654830,1
204655397,0
204657197,0
204663885,20
204672862,3
204677001,2
204691583,4
204693478,20
204698521,3
204700158,1
204703039,0
204703955,2
204707666,1
204709126,2
204709777,0
204711171,4
204721548,3
204737211,20
204739535,4
204750387,3
204751279,2
204752083,1
204754399,3
204754691,1
204755267,0
204758146,0
204765152,4
204773943,20
204776812,2
204779664,4
204788230,4
204797860,3
204800141,1
204802789,0
204803861,2
204807109,1
204809000,2
204810408,0
204814047,20
204821265,3
204833006,4
204835903,4
204849035,3
204851953,1
204855951,3
204856175,1
204856496,20
204857159,0
204857938,0
204864634,2
204884218,2
204891631,4
204896208,20
204907331,3
204910937,2
204911777,4
204912934,1
204915068,1
204915740,0
204917212,0
204923520,20
204930329,3
204936410,2
204941224,4
204956126,3
204962669,1
204963536,2
204964072,4
204967555,1
204969863,0
204974085,20
204980980,3
204990736,2
204991934,4
205007456,3
205011866,2
205012568,4
205013173,1
205015449,0
205017095,20
205017426,1
205017705,0
205021401,2
205030341,3
205040192,4
205054083,20
205056075,3
205060338,1
205063907,0
205064825,2
205065327,4
205066959,1
205069203,0
205069688,2
205081112,3
205083217,20
205091750,4
205112321,4
205113411,1
205114372,0
205115090,1
205116162,3
205116643,0
205123903,2
205124516,20
205139446,4
205140018,3
205145764,2
205159761,1
205163720,20
205164468,4
205166723,3
205167886,1
205171351,2
205173640,0
205176813,0
205190274,3
205191897,4
205195642,4
205197059,2
205204318,20
205211936,1
205214783,3
205215232,1
205223080,0
205223903,2
205230343,0
205239374,4
205240686,3
205243708,20
205247998,4
205248404,2
205269516,3
205271877,2
205272901,3
205273495,1
205274349,0
205275383,1
205276547,0
205286589,20
205292981,4
205295245,4
205296583,2
205315076,3
205320192,1
205322159,0
205323058,2
205323526,20
205328139,1
205328492,2
205330600,0
205340389,3
205351723,4
205365171,20
205367523,3
205371994,1
205372684,4
205373422,3
205374980,1
205375611,0
205378559,0
205383416,2
205393031,4
205395352,4
205403743,20
205405052,2
205428164,3
205431080,1
205431623,2
205434149,1
205434579,0
205437630,0
205444541,20
205449790,3
205451576,4
205456754,2
205471139,4
205473533,20
205474815,3
205479143,1
205481761,0
205483325,2
205489063,2
205499854,4
205501344,3
205502860,1
205505508,0
205514650,20
205524440,4
205527606,3
205531195,1
205532231,2
205533662,3
205534316,1
205534754,0
205536473,0
205551655,4
205553734,20
205556381,2
205572150,4
205579918,1
205582353,0
205584598,2
205586959,1
205587711,3
205589567,2
205591261,0
205594176,20
205599482,4
205611060,3
205624212,4
205627597,3
205631269,1
205633243,3
205633658,20
205634549,1
205635111,0
205638018,0
205643244,2
205651728,4
205655361,4
205664631,2
205675253,20
205679354,1
205687564,1
205688251,3
205691160,2
205695799,0
205697711,0
205699612,4
205703353,20
205709771,3
205721220,2
205724060,4
205732473,1
205734955,1
205736358,3
205741857,0
205743964,2
205749167,2
205750513,0
205753044,4
205755875,20
205761668,3
205771269,4
205783918,20
205788312,3
205790139,1
205792562,2
205794107,0
205799429,0
205799932,4
205811650,1
205813580,3
205816969,2
205824686,20
205825338,4
205836373,3
205839621,1
205843540,2
205849138,2
205851769,4
205856015,0
205859780,4
205860068,0
205861317,3
205863172,1
205863857,20
205890824,1
205894230,0
205900105,4
205900754,0
205903450,2
205905135,20
205922072,3
205924338,4
205925186,2
205933654,20
205940605,1
205948681,3
205952159,2
205952986,4
205954933,0
205955761,4
205959037,0
205962417,1
205969691,3
205975295,20
205977417,2
205992457,1
205994963,1
205996419,3
206003082,0
206004263,2
206010238,0
206011583,4
206017642,20
206021245,3
206025673,2
206032055,4
206048799,3
206051452,1
206052518,4
206053869,3
206054339,20
206055105,0
206055891,4
206058823,0
206069907,1
206076008,2
206093619,20
206096257,3
206099570,1
206104437,2
206108553,2
206111359,4
206113657,0
206120881,3
206122824,1
206131998,4
206137918,20
206142664,0
206152366,1
206156016,3
206159385,4
206161899,0
206163061,2
206171569,1
206174652,20
206181332,3
206184307,4
206185225,0
206185718,2
206200421,1
206205367,2
206208076,3
206209110,1
206209338,2
206211500,4
206213365,0
206214287,20
206217848,0
206227828,3
206232841,4
206243802,20
206251971,1
206254945,1
206256019,3
206259382,4
206261913,0
206264001,2
206270650,0
206281099,3
206283106,4
206283406,2
206285041,20
206300087,1
206307302,3
206307846,1
206311321,4
206311821,2
206314738,0
206317830,0
206324115,20
206329513,3
206336049,2
206336580,4
206356224,3
206359036,1
206360065,4
206363561,2
206364745,20
206368713,2
206373413,0
206380041,3
206382901,1
206385317,4
206395281,0
206404074,20
206407985,3
206411804,4
206412534,1
206413406,3
206416341,4
206421896,0
206424598,2
206430367,1
206444558,2
206445467,0
206446601,20
206461190,1
206464316,2
206467893,3
206468806,2
206473412,20
206474308,0
206477422,0
206483003,1
206483319,4
206489637,3
206511742,1
206512827,4
206516195,3
206516807,4
206518477,1
206521165,0
206523292,2
206524767,20
206529834,0
206541150,3
206544522,2
206559136,1
206564103,20
206566535,3
206567299,1
206571888,4
206572467,2
206573775,0
206577529,0
206591856,3
206593179,4
206596547,2
206604783,20
206610705,4
206611211,1
206614661,1
206615117,3
206616555,4
206623599,2
206632884,0
206633610,20
206637807,0
206640004,3
206647942,2
206658990,1
206668041,1
206668552,3
206670535,4
206672053,2
206673449,3
206675163,20
206680566,0
206693074,4
206695257,2
206706088,0
206711153,1
206713697,20
206714069,1
206714869,3
206719671,4
206724401,2
206728216,2
206732556,0
206737584,0
206740280,3
206743983,4
206754469,20
206770716,1
206771440,2
206772029,4
206774708,3
206781650,2
206790407,1
206793093,0
206794193,4
206794911,20
206800652,3
206814217,0
206819098,1
206820007,4
206824439,2
206827729,3
206828676,2
206831843,0
206837191,0
206838545,20
206841659,1
206844619,4
206849287,3
206863830,20
206870712,1
206871825,4
206874719,3
206876167,1
206885824,2
206893597,0
206894314,4
206900615,3
206907429,2
206914294,0
206914671,20
206917815,1
206919220,4
206926749,3
206931426,2
206940609,0
206941844,1
206944713,4
206949782,3
206954273,20
206955622,2
206964833,0
206970768,4
206971333,1
206975857,1
206983915,2
206987420,3
206992306,0
206993684,4
206994523,20
207004033,2
207009893,3
207015200,0
207017131,1
207026389,3
207027493,1
207032635,2
207033474,4
207033885,20
207039944,0
207053272,3
207055726,2
207056386,4
207065364,0
207070867,1
207072579,4
207074510,20
207074909,1
207083893,2
207087434,3
207088396,2
207091550,0
207092081,4
207097189,0
207104327,20
207109885,3
207126189,3
207130280,1
207131863,4
207133201,3
207141354,0
207143515,2
207144977,20
207150413,1
207152140,4
207164583,2
207165100,0
207170858,1
207171487,4
207175094,1
207175689,4
207184044,20
207185910,3
207190894,2
207191937,0
207197339,0
207209373,3
207214963,2
207226994,20
207229292,1
207230964,4
207233376,3
207243178,2
207251076,1
207251651,0
207252405,4
207261050,3
207264386,20
207265250,2
207271078,4
207273146,0
207275802,4
207277871,1
207285524,3
207291457,2
207299316,0
207302469,1
207305431,20
207310060,3
207315634,2
207325288,0
207330134,1
207330781,4
207333338,3
207333733,1
207347429,2
207352656,0
207353129,4
207353416,20
207360818,3
207364850,2
207372974,0
207378002,1
207381977,4
207385280,20
207386073,3
207390467,2
207399179,0
207402704,1
207404010,4
207410238,3
207415720,2
207424048,20
207424896,0
207428987,1
207430470,4
207433723,3
207434981,1
207441473,2
207452025,0
207452569,4
207455129,20
207457300,0
207461538,3
207464014,2
207477817,1
207478444,4
207485769,3
207487928,1
207490298,2
207494369,20
207500394,0
207503825,4
207512866,3
207515145,2
207526153,0
207529169,1
207529920,4
207533361,3
207534771,20
207535362,1
207544354,2
207552260,0
207553010,4
207557229,0
207561199,3
207564655,2
207575118,20
207577834,4
207588804,1
207589398,2
207593052,3
207597987,0
207605533,4
207611285,1
207616017,2
207616568,20
207620215,3
207624746,0
207628318,1
207629295,4
207632112,3
207634153,1
207643861,20
207650554,2
207651171,0
207651594,4
207657721,0
207660681,3
207675311,2
207677836,4
207685606,3
207687533,1
207694820,20
207700974,2
207703930,4
207709528,0
207709915,3
207711679,1
207725636,2
207731198,4
207732896,0
207734285,20
207736395,1
207741444,2
207745518,3
207747592,2
207750657,0
207752833,4
207757176,0
207761684,1
207769378,3
207774790,20
207778091,4
207787358,1
207792074,3
207793696,1
207801204,2
207803935,20
207804271,4
207809673,0
207820231,3
207824819,2
207829165,4
207831830,0
207835193,1
207844917,3
207845333,20
207849740,2
207853077,4
207857314,0
207862493,1
207869518,3
207876099,2
207878219,4
207884231,0
207884600,20
207887670,1
207892499,3
207893563,1
207902034,2
207904137,4
207910070,0
207920713,3
207923995,2
207925102,20
207933731,0
207935931,1
207936449,4
207944538,3
207950797,2
207958354,0
207962581,1
207963884,4
207964428,20
207973437,3
207975818,2
207984960,0
207987888,1
207990425,4
207991928,3
207993695,1
208001890,2
208008826,20
208010720,0
208011434,4
208021279,3
208024741,2
208030633,4
208032882,0
208034003,20
208035545,4
208036223,1
208044652,3
208047565,1
208052288,2
208057846,0
208069009,3
208075578,2
208084701,0
208085230,20
208088963,1
208089789,4
208092112,3
208095040,1
208103276,2
208107728,2
208109033,0
208112174,4
208121163,3
208123983,20
208132635,0
208138998,4
208144619,3
208148584,1
208151062,2
208157887,0
208164509,4
208165045,20
208169210,3
208169790,1
208177093,2
208185398,0
208189188,1
208190509,4
208194020,20
208194886,1
208202783,2
208204805,3
208210360,2
208213156,0
208213560,4
208228216,3
208232345,0
208235379,20
208236595,4
208244976,3
208247527,1
208263991,4
208266530,2
208269054,3
208270268,1
208270634,0
208275083,20
208284395,2
208292125,4
208295416,0
208296283,1
208302866,2
208305331,3
208308604,2
208312811,4
208314996,20
208317789,0
208321937,1
208328478,3
208338125,4
208345660,0
208348028,1
208353371,3
208354141,20
208354358,1
208362921,2
208364017,4
208369877,0
208380630,3
208385010,2
208390627,4
208392049,0
208395752,1
208397345,20
208404877,3
208410215,2
208412636,4
208418302,0
208422827,1
208424155,20
208428938,3
208436930,2
208441018,4
208444005,0
208445456,3
208450019,1
208454465,1
208461887,2
208464427,4
208469161,0
208470675,3
208477361,20
208485002,2
208490328,4
208493309,0
208495616,1
208504989,3
208506579,1
208512341,2
208513212,4
208514769,20
208518621,0
208528680,3
208536320,2
208543538,0
208548169,1
208550488,4
208552930,3
208553935,1
208555242,20
208563093,2
208569118,2
208569799,0
208571000,4
208580738,3
208584203,20
208590627,4
208592028,0
208595458,1
208604936,3
208607549,1
208612182,4
208613966,2
208617092,0
208625541,20
208629477,3
208638095,4
208640217,2
208644715,0
208648635,1
208653580,1
208653963,3
208662445,2
208662812,4
208665861,20
208669403,0
208677092,0
208679799,3
208684393,2
208690516,4
208695322,4
208696167,1
208704802,3
208705467,20
208706705,1
208717361,0
208721318,2
208728892,3
208744827,20
208745152,0
208748337,1
208750673,4
208752980,3
208754143,1
208761955,2
208769972,0
208771115,4
208777372,0
208780245,3
208783371,2
208787494,20
208790829,4
208795626,4
208805202,3
208807750,1
208809872,2
208824514,20
208829776,3
208830312,0
208831242,1
208835115,2
208848308,1
208850360,4
208856486,0
208856690,1
208857089,3
208862712,2
208865315,20
208867934,2
208871475,0
208872842,4
208876187,0
208880355,3
208897324,4
208904660,3
208905255,20
208907312,1
208917851,1
208922768,2
208924316,4
208928743,3
208929365,0
208945268,20
208945661,2
208950358,4
208952290,0
208957150,1
208964799,3
208970180,2
208970831,4
208974248,20
208977246,0
208981715,1
208987784,3
208995425,2
208998599,4
209004638,0
209005058,3
209008033,1
209014239,1
209015204,20
209022005,2
209023536,4
209028837,0
209032887,3
209043275,2
209050789,4
209053426,0
209054726,20
209055785,1
209064549,3
209067154,1
209069741,2
209070850,4
209077451,0
209087435,3
209095196,20
209095727,2
209097958,4
209104547,0
209105197,3
209108144,1
209113822,3
209115063,1
209120798,2
209123871,4
209129757,0
209134692,20
209143248,2
209150453,4
209152361,0
209155822,1
209165728,3
209168321,1
209169762,2
209175612,20
209176806,4
209177762,0
209188556,3
209195245,2
209198802,4
209204381,20
209206425,0
209208612,1
209212036,3
209214141,1
209221458,2
209224183,4
209230137,0
209240040,3
209243358,2
209246088,20
209250179,4
209253433,0
209255758,1
209265361,3
209267177,1
209269596,2
209271664,4
209278442,0
209284688,20
209288518,3
209295874,2
209305127,0
209307568,1
209310605,4
209313330,3
209315184,1
209316420,4
209322354,2
209325336,20
209327744,2
209329893,0
209340091,3
209350609,4
209353462,0
209364241,3
209364920,20
209368161,1
209369200,2
209371452,4
209388374,3
209390814,1
209391343,0
209394960,2
209397967,4
209405330,20
209407891,1
209412007,3
209415472,1
209415706,0
209422106,2
209424247,4
209427515,2
209430299,0
209435624,20
209436700,0
209439717,3
209450545,4
209455312,4
209464082,3
209467621,1
209475729,20
209481982,2
209488647,3
209489717,0
209490549,1
209504971,2
209510795,4
209513345,3
209514375,20
209517024,0
209517510,1
209529541,2
209532223,4
209537539,0
209540201,3
209542716,1
209552046,4
209555511,4
209559107,20
209559929,2
209564818,0
209565416,3
209569708,1
209574585,1
209583653,2
209587459,3
209589542,0
209594958,20
209604144,2
209609765,4
209613292,3
209615941,1
209616491,0
209627724,1
209630044,2
209632805,4
209635286,20
209644961,0
209651051,3
209656401,2
209658070,4
209664733,0
209665099,3
209668637,1
209674926,20
209675287,1
209683446,2
209684186,4
209687764,3
209690031,0
209705422,2
209713135,4
209714420,0
209717276,20
209718516,1
209724901,3
209727571,1
209730437,2
209732427,4
209737945,0
209745028,20
209747624,3
209755538,2
209757962,4
209764502,0
209765112,3
209770403,1
209778272,1
209783694,2
209784238,4
209787934,2
209790489,3
209790937,0
209792155,20
209810200,4
209813743,0
209816470,1
209825214,3
209825597,20
209827167,1
209832981,4
209844358,2
209847942,3
209852136,0
209857898,4
209864678,2
209865387,20
209868773,1
209872560,3
209873966,0
209875030,1
209884169,4
209890485,2
209890960,0
209900914,3
209906333,20
209913132,4
209915415,0
209916127,2
209916553,4
209925406,3
209929227,1
209934819,1
209937238,0
209942580,2
209947530,20
209948069,2
209948965,3
209958169,4
209965146,0
209973690,3
209977623,1
209984092,4
209984563,20
209989560,2
209990270,0
209996780,0
210000444,3
210002178,1
210010153,4
210017297,2
210024872,3
210025807,20
210027966,1
210034542,4
210034839,1
210043078,2
210047283,3
210050603,0
210057937,4
210064859,2
210065061,20
210072671,3
210073062,0
210076438,1
210083840,4
210092947,1
210100350,3
210103810,0
210104216,2
210105808,20
210111018,4
210124404,3
210124934,0
210125213,2
210128796,1
210132987,4
210134570,20
210134842,1
210143107,2
210147254,3
210148308,2
210151656,0
210159091,4
210172608,3
210173732,0
210175765,20
210177368,1
210183896,4
210186871,1
210198306,0
210200230,3
210202981,2
210210626,4
210215056,20
210215616,4
210224445,3
210225088,0
210225392,2
210228847,1
210236962,1
210248648,3
210249891,2
210251007,0
210255823,20
210271679,4
210272007,3
210273943,0
210276548,1
210277342,2
210287498,1
210292023,4
210294682,20
210299340,3
210302802,2
210311073,0
210311466,4
210325402,3
210325903,2
210333759,0
210336122,20
210337259,1
210344918,4
210348677,3
210350011,2
210350799,0
